,method,model,n_components,n_neighbors,accuracy,train,test,precision,recall,f1
0,TfIdf-max_features,SVM,5,-1,0.20361955085865258,unbalanced,unbalanced,0.2010065888922503,0.20361955085865258,0.17435124009179473
1,TfIdf-max_features,RF,5,-1,0.20394414040384978,unbalanced,unbalanced,0.24564547958827163,0.20394414040384978,0.1813175236236379
2,TfIdf-max_features,NB,5,-1,0.20889979241366297,unbalanced,unbalanced,0.19923024943785744,0.20889979241366297,0.15210015627037657
3,TfIdf-max_features,SVM,25,-1,0.12821287035289677,unbalanced,unbalanced,0.14215156782874916,0.12821287035289677,0.048977708674572434
4,TfIdf-max_features,RF,25,-1,0.22055859596150218,unbalanced,unbalanced,0.25347220422695044,0.22055859596150218,0.19910691275023495
5,TfIdf-max_features,NB,25,-1,0.21200603887525948,unbalanced,unbalanced,0.2476166871143105,0.21200603887525948,0.15961243434626046
6,TfIdf-max_features,SVM,45,-1,0.09842989243253444,unbalanced,unbalanced,0.124496414379824,0.09842989243253444,0.051738115738977075
7,TfIdf-max_features,RF,45,-1,0.22913379882996793,unbalanced,unbalanced,0.2649921605780401,0.22913379882996793,0.2098435668308935
8,TfIdf-max_features,NB,45,-1,0.12694848084544252,unbalanced,unbalanced,0.262791101117998,0.12694848084544252,0.12112167229084086
9,TfIdf-max_features,SVM,65,-1,0.20074353651632384,unbalanced,unbalanced,0.3832683043519626,0.20074353651632384,0.09157254179728641
10,TfIdf-max_features,RF,65,-1,0.23354595206642761,unbalanced,unbalanced,0.26916863505006533,0.23354595206642761,0.2147180101626517
11,TfIdf-max_features,NB,65,-1,0.1292998678996037,unbalanced,unbalanced,0.2700408111858263,0.1292998678996037,0.12170882358240462
12,TfIdf-max_features,SVM,85,-1,0.23663332704283827,unbalanced,unbalanced,0.2498361279987583,0.23663332704283827,0.15765073993566064
13,TfIdf-max_features,RF,85,-1,0.24238535572749575,unbalanced,unbalanced,0.28196892229282233,0.24238535572749575,0.2250790778664154
14,TfIdf-max_features,NB,85,-1,0.14368748820532176,unbalanced,unbalanced,0.2813466836464765,0.14368748820532176,0.14055926447512165
15,TfIdf-max_features,SVM,100,-1,0.16717493866767313,unbalanced,unbalanced,0.24790456038309708,0.16717493866767313,0.07549188968463129
16,TfIdf-max_features,RF,100,-1,0.24341196452160785,unbalanced,unbalanced,0.28484028703180236,0.24341196452160785,0.22656979369783123
17,TfIdf-max_features,NB,100,-1,0.14662389130024533,unbalanced,unbalanced,0.2818854687863524,0.14662389130024533,0.1447760459434949
18,TfIdf-max_features,SVM,300,-1,0.16994149839592376,unbalanced,unbalanced,0.2574311015014236,0.16994149839592376,0.10917608359369407
19,TfIdf-max_features,RF,300,-1,0.2560256652198528,unbalanced,unbalanced,0.3021945117231228,0.2560256652198528,0.23828033222439007
20,TfIdf-max_features,NB,300,-1,0.1666616342706171,unbalanced,unbalanced,0.3017898770791329,0.1666616342706171,0.16653257879936267
21,TfIdf-max_features,SVM,500,-1,0.27283638422343837,unbalanced,unbalanced,0.3465662278533404,0.27283638422343837,0.25696775743564493
22,TfIdf-max_features,RF,500,-1,0.2631628609171542,unbalanced,unbalanced,0.32057479025120544,0.2631628609171542,0.24766979564601851
23,TfIdf-max_features,NB,500,-1,0.17840724665031138,unbalanced,unbalanced,0.3060113108520739,0.17840724665031138,0.1767462339629214
24,TfIdf-max_features,SVM,700,-1,0.24668050575580297,unbalanced,unbalanced,0.4575707355116289,0.24668050575580297,0.2016719347507949
25,TfIdf-max_features,RF,700,-1,0.26683147763729004,unbalanced,unbalanced,0.3276091014595771,0.26683147763729004,0.25128300396635356
26,TfIdf-max_features,NB,700,-1,0.18414795244385734,unbalanced,unbalanced,0.31260049137077695,0.18414795244385734,0.18213345513605997
27,TfIdf-max_features,SVM,900,-1,0.23183619550858653,unbalanced,unbalanced,0.3674773420869776,0.23183619550858653,0.19806796793947218
28,TfIdf-max_features,RF,900,-1,0.2684015852047556,unbalanced,unbalanced,0.33159861982402383,0.2684015852047556,0.2531431234511527
29,TfIdf-max_features,NB,900,-1,0.18489903755425552,unbalanced,unbalanced,0.3150627235839255,0.18489903755425552,0.1825120324957343
30,TfIdf-max_features,SVM,1100,-1,0.27148896018116625,unbalanced,unbalanced,0.37385088359088986,0.27148896018116625,0.2418182297742787
31,TfIdf-max_features,RF,1100,-1,0.2686469145121721,unbalanced,unbalanced,0.33209237074867287,0.2686469145121721,0.25227739789159276
32,TfIdf-max_features,NB,1100,-1,0.18506888092092846,unbalanced,unbalanced,0.31731656255224255,0.18506888092092846,0.18191733145680128
33,TfIdf-max_features,SVM,1300,-1,0.14720513304397057,unbalanced,unbalanced,0.5163967487057156,0.14720513304397057,0.07116227084911413
34,TfIdf-max_features,RF,1300,-1,0.2681487073032648,unbalanced,unbalanced,0.33549335803874153,0.2681487073032648,0.2519687747914522
35,TfIdf-max_features,NB,1300,-1,0.18486506888092094,unbalanced,unbalanced,0.3182089319001078,0.18486506888092094,0.18114995304664597
